cell,condition,seed,n_nodes,n_edges,density,n_components,modularity_Q,max_round
mx_A_s1,A,1,100,55,0.011111,47,0.715533,30
mx_A_s2,A,2,100,61,0.012323,40,0.678158,30
mx_A_s3,A,3,100,57,0.011515,46,0.684924,30
mx_A_s4,A,4,100,54,0.010909,48,0.70342,30
mx_A_s5,A,5,100,61,0.012323,40,0.665881,30
mx_A_s6,A,6,100,60,0.012121,41,0.713361,30
mx_A_s7,A,7,100,54,0.010909,47,0.638466,30
mx_A_s8,A,8,100,46,0.009293,54,0.731734,30
mx_A_s9,A,9,100,45,0.009091,56,0.642695,30
mx_A_s10,A,10,100,55,0.011111,47,0.657987,30
mx_B_s1,B,1,100,56,0.011313,45,0.723792,30
mx_B_s2,B,2,100,58,0.011717,43,0.696942,30
mx_B_s3,B,3,100,58,0.011717,43,0.715943,30
mx_B_s4,B,4,100,50,0.010101,52,0.662932,30
mx_B_s5,B,5,100,71,0.014343,32,0.705377,30
mx_B_s6,B,6,100,56,0.011313,45,0.686809,30
mx_B_s7,B,7,100,75,0.015152,27,0.642604,30
mx_B_s8,B,8,100,50,0.010101,51,0.67705,30
mx_B_s9,B,9,100,51,0.010303,51,0.679755,30
mx_B_s10,B,10,100,48,0.009697,52,0.68906,30
