pair,metric,d,d_interp,U,p_raw,p_adj,significant
AvsB,brm,-0.806,large,,0.1405,0.1945,False
AvsB,gini,-0.110,negligible,,0.8501,0.9632,False
AvsB,cooperation_rate,-0.124,negligible,,0.9097,0.9632,False
AvsB,mean_wealth,-0.282,small,,0.3447,0.4432,False
AvsB,jsd_component,-0.117,negligible,,0.9097,0.9632,False
AvsB,stability_component,+0.214,small,,0.9698,0.9698,False
AvsD,brm,+4.609,large,,0.0001,0.0003,True
AvsD,gini,+15.187,large,,0.0001,0.0003,True
AvsD,cooperation_rate,+2.046,large,,0.0054,0.0081,True
AvsD,mean_wealth,-68.371,large,,0.0005,0.0008,True
AvsD,jsd_component,+19.985,large,,0.0001,0.0003,True
AvsD,stability_component,+13.711,large,,0.0005,0.0008,True
BvsD,brm,+6.962,large,,0.0001,0.0003,True
BvsD,gini,+15.343,large,,0.0001,0.0003,True
BvsD,cooperation_rate,+2.288,large,,0.0005,0.0008,True
BvsD,mean_wealth,-66.698,large,,0.0005,0.0008,True
BvsD,jsd_component,+19.552,large,,0.0001,0.0003,True
BvsD,stability_component,+16.467,large,,0.0005,0.0008,True
