policy_type,population_size,n_runs,wealth_mean_avg,wealth_mean_std,wealth_gini_avg,wealth_gini_std,stress_mean_avg,stress_mean_std
mock,5,7,76.0,0.0,0.05263157894736836,0.0,0.12000000000000001,0.0
mock,20,1,146.0,,0.1613013698630137,,-0.23500000000000001,
mock,50,1,295.4,,0.24968178740690594,,-0.26600000000000007,
mock,100,1,545.2,,0.28678283198826127,,-0.281,
random,5,6,84.0,1.7888543819998313,0.08939533083038483,0.03016328565499024,1.2033333333333334,0.2199696948824238
random,20,1,155.5,,0.22363344051446932,,0.745,
random,50,1,306.4,,0.27472584856396876,,0.8779999999999998,
random,100,1,556.9,,0.3006643921709462,,0.9269999999999999,
rule_based,5,6,76.0,0.0,0.05263157894736836,0.0,0.12000000000000001,0.0
rule_based,20,1,146.0,,0.1613013698630137,,-0.23500000000000001,
rule_based,50,1,295.4,,0.24968178740690594,,-0.26600000000000007,
rule_based,100,1,545.2,,0.28678283198826127,,-0.281,
